0,,,,,,,,,
2.25,0,,,,,,,,
1.05,2,0,,,,,,,
2.6,1.45,2.25,0,,,,,,
2.5,2.5,2,2,0,,,,,
2,1.1,1.8,2,2.55,0,,,,
1.1,1.8,1.3,2.25,2.3,1.4,0,,,
2,1.67,2,2.5,3,3,1.5,0,,
1.83,1.3,1.3,1.58,1.92,,1.67,1.75,0,
2.67,0.83,0.83,1.67,2.67,1.5,2.08,2,1.67,0
