0,,,,,,,,,
1278,0,,,,,,,,
812,854,0,,,,,,,
,372,735,0,,,,,,
1988,1447,770,,0,,,,,
847,345,469,884,1639,0,,,,
738,552,608,767,1312,221,0,,,
1218,774,1778,,3052,281,469,0,,
1155,350,420,595,910,329,525,1190,0,
1120,175,980,560,2100,420,520,735,525,0
